Fecha,NO
2019-06-12,7.8125
2019-06-13,7.6875
2019-06-14,10.45
2019-06-17,7.266666666666667
2019-06-18,7.145833333333334
2019-06-19,7.333333333333333
2019-06-20,8.520833333333334
2019-06-21,8.145833333333334
2019-06-22,8.125
2019-06-23,6.625
2019-06-24,6.6875
2019-06-25,7.3125
2019-06-26,8.520833333333334
2019-06-27,7.854166666666667
2019-06-28,7.249999999999999
2019-06-29,7.875
2019-06-30,6.791666666666667
2019-07-02,7.145833333333334
2019-07-03,7.395833333333333
2019-07-04,8.166666666666668
2019-07-05,7.625
2019-07-06,8.687499999999998
2019-07-07,6.270833333333333
2019-07-08,7.8125
2019-07-09,7.5625
2019-07-10,6.791666666666667
2019-07-11,7.666666666666666
2019-07-12,7.458333333333333
2019-07-13,7.9375
2019-07-14,6.979166666666667
2019-07-15,7.458333333333333
2019-07-16,7.375
2019-07-17,8.1875
2019-07-18,7.75
2019-07-19,7.4375
2019-07-20,7.75
2019-07-21,7.75
2019-07-22,9.041666666666666
2019-07-23,8.749999999999998
2019-07-24,7.8125
2019-07-25,8.65
2019-07-30,6.7727272727272725
2019-07-31,9.416666666666666
2019-08-02,9.333333333333334
2019-08-03,7.916666666666667
2019-08-04,6.666666666666667
2019-08-05,7.291666666666666
2019-08-06,7.104166666666666
2019-08-07,7.583333333333333
2019-08-08,7.708333333333334
2019-08-09,9.604166666666668
2019-08-10,7.6875
2019-08-11,6.520833333333333
2019-08-12,8.25
2019-08-13,7.666666666666666
2019-08-14,8.729166666666666
2019-08-15,7.479166666666666
2019-08-16,8.291666666666668
2019-08-17,7.6875
2019-08-18,8.041666666666668
2019-08-19,10.145833333333334
2019-08-20,7.3125
2019-08-21,7.666666666666666
2019-08-22,6.229166666666667
2019-08-23,7.249999999999999
2019-08-24,8.958333333333334
2019-08-25,7.8125
2019-08-26,9.270833333333334
2019-08-27,9.020833333333334
2019-08-28,9.875
2019-08-29,9.541666666666668
2019-08-30,7.916666666666667
2019-08-31,9.020833333333334
2019-09-02,8.708333333333334
2019-09-03,8.25
2019-09-04,8.0
2019-09-05,9.583333333333334
2019-09-06,10.458333333333334
2019-09-07,10.625
2019-09-08,8.041666666666668
2019-09-09,7.979166666666667
2019-09-10,8.895833333333334
2019-09-11,8.708333333333334
2019-09-12,9.104166666666666
2019-09-13,8.90909090909091
2019-09-14,8.291666666666668
2019-09-15,7.020833333333334
2019-09-16,6.145833333333333
2019-09-17,8.958333333333334
2019-09-18,6.416666666666667
2019-09-19,8.104166666666668
2019-09-20,8.0625
2019-09-21,7.666666666666666
2019-09-22,6.708333333333334
2019-09-23,8.208333333333334
2019-09-24,8.229166666666668
2019-09-25,8.0625
2019-09-26,8.1875
2019-09-27,9.8125
2019-09-28,8.020833333333332
2019-09-29,6.520833333333333
2019-09-30,5.229166666666667
2019-10-02,8.729166666666666
2019-10-03,10.1875
2019-10-04,9.479166666666668
2019-10-05,9.645833333333334
2019-10-06,7.916666666666667
2019-10-07,9.645833333333334
2019-10-08,8.208333333333334
2019-10-09,9.979166666666666
2019-10-10,8.708333333333334
2019-10-11,7.604166666666666
2019-10-12,7.145833333333334
2019-10-13,7.645833333333333
2019-10-14,8.3125
2019-10-15,9.0
2019-10-16,10.645833333333334
2019-10-17,7.875
2019-10-18,8.624999999999998
2019-10-19,7.4375
2019-10-20,6.541666666666667
2019-10-21,7.520833333333333
2019-10-22,10.854166666666666
2019-10-23,7.291666666666666
2019-10-24,9.25
2019-10-25,11.062500000000002
2019-10-26,8.5625
2019-10-27,7.291666666666666
2019-10-28,7.020833333333334
2019-10-29,7.604166666666666
2019-10-30,7.666666666666666
2019-10-31,8.229166666666668
2019-11-02,7.895833333333333
2019-11-03,6.083333333333333
2019-11-04,8.166666666666668
2019-11-05,9.229166666666666
2019-11-06,8.916666666666666
2019-11-07,8.714285714285714
2019-11-08,7.8999999999999995
2019-11-09,9.1875
2019-11-10,8.520833333333334
2019-11-11,8.749999999999998
2019-11-12,12.6875
2019-11-13,9.979166666666666
2019-11-14,8.208333333333334
2019-11-15,9.352941176470589
2019-11-19,13.777777777777779
2019-11-20,9.645833333333334
2019-11-21,11.625000000000002
2019-11-22,11.458333333333334
2019-11-23,9.208333333333334
2019-11-24,9.458333333333334
2019-11-25,10.0625
2019-11-26,9.979166666666666
2019-11-27,12.208333333333334
2019-11-28,12.291666666666666
2019-11-29,11.437500000000002
2019-11-30,14.125
2019-12-02,12.062499999999998
2019-12-03,10.833333333333334
2019-12-04,9.708333333333334
2019-12-05,9.1875
2019-12-06,12.083333333333334
2019-12-07,11.500000000000002
2019-12-08,8.687499999999998
2019-12-09,9.458333333333334
2019-12-10,9.145833333333334
2019-12-11,11.395833333333334
2019-12-12,11.749999999999998
2019-12-13,13.979166666666668
2019-12-14,10.541666666666666
2019-12-15,8.520833333333334
2019-12-16,9.6875
2019-12-17,10.166666666666666
2019-12-18,9.479166666666668
2019-12-19,11.958333333333332
2019-12-20,11.874999999999998
2019-12-21,13.125
2019-12-22,10.020833333333332
2019-12-23,13.3125
2019-12-24,11.229166666666666
2019-12-25,6.380952380952381
2019-12-26,10.222222222222223
2019-12-27,9.354166666666666
2019-12-28,7.8125
2019-12-29,7.1875
2019-12-30,7.75
2019-12-31,7.0625
2020-03-02,21.53191489361702
2020-03-03,21.813953488372093
2020-03-04,23.85
