Fecha,Temperatura,RelativeHumidity,SolarRadiation,Rainfall,WindDirection,PM10,PM2.5,O3,CO,NO,NO2,SO2
2018-07-04,21.03333333333333,57.54166666666666,328.9583333333333,,16.0,0.0,,,,3.75,,
2018-07-05,21.35833333333333,56.958333333333336,264.875,,18.0,0.0,,,,3.6666666666666665,,
2018-07-06,19.65,61.333333333333336,292.0416666666667,0.45,8.0,0.0,-3.0,,,4.041666666666666,,
2018-07-07,19.816666666666663,62.125,241.58333333333331,,231.0,0.0,-4.0,,,3.75,,
2018-07-08,18.0625,73.5,146.79166666666666,1.22,14.0,0.0,961.0,,,3.25,,
2018-07-09,19.079166666666666,67.0,246.08333333333331,0.19,16.0,0.0,460.4,,,3.583333333333333,,
2018-07-10,17.504166666666666,75.95833333333333,152.33333333333334,0.6,192.0,0.0,,,,4.666666666666667,,
2018-07-11,16.974999999999998,76.33333333333333,183.33333333333331,0.24,211.0,0.0,,,,6.375,,
2018-07-12,19.05,65.16666666666667,243.875,,17.0,0.0,,,,6.000000000000001,,
2018-07-13,19.02083333333333,66.91666666666667,237.20833333333331,0.73,114.0,0.0,,,,6.208333333333333,,
2018-07-14,18.7,71.33333333333333,277.4166666666667,1.15,22.0,0.0,,,,3.7916666666666665,,
2018-07-15,19.85833333333333,64.66666666666667,286.9583333333333,0.01,210.0,0.0,,,,4.083333333333334,,
2018-07-16,19.929166666666667,64.58333333333333,203.75,0.02,227.0,0.0,,,,3.9166666666666665,,
2018-07-17,19.1,63.833333333333336,232.08333333333331,,11.0,0.0,,,,3.0416666666666665,,
2018-07-18,19.991666666666667,62.91666666666666,325.0,0.64,36.0,0.0,,,,3.2916666666666665,,
2018-07-19,20.5125,60.875,307.75,,0.0,0.0,,,,3.75,,
2018-07-20,20.445833333333333,59.04166666666666,239.70833333333331,0.27,215.0,0.0,,,,2.7500000000000004,,
2018-07-21,21.0,61.625,313.9166666666667,,24.0,0.0,,,,3.0000000000000004,,
2018-07-22,21.55,59.458333333333336,288.2916666666667,,214.0,0.0,,,,3.583333333333333,,
2018-07-23,21.35,62.958333333333336,221.5,,208.0,0.0,,,,3.0416666666666665,,
2018-07-24,20.95,61.5,276.5833333333333,0.3399999999999999,210.0,0.0,,,,2.833333333333333,,
2018-07-25,20.7625,60.91666666666666,262.0,,0.0,0.0,,,,3.625,,
2018-07-26,20.604166666666668,58.833333333333336,231.70833333333331,0.04,203.0,0.0,,,,3.458333333333333,,
2018-07-27,20.404166666666665,61.958333333333336,270.5833333333333,,4.0,0.0,,,,3.458333333333333,,
2018-07-28,19.654166666666665,61.625,206.16666666666663,,9.0,0.0,,,,3.25,,
2018-07-29,20.34583333333333,61.25,306.4583333333333,0.62,218.0,0.0,,,,3.208333333333333,,
2018-07-30,21.0875,60.41666666666666,337.3333333333333,,24.0,0.0,,,,5.166666666666667,,
2018-07-31,20.870833333333334,62.25,246.58333333333331,,22.0,0.0,,,,4.041666666666666,,
2018-08-01,21.0375,60.91666666666666,281.7916666666667,,219.0,0.0,,,,,,
2018-08-02,20.83333333333333,57.083333333333336,263.5,,210.0,0.0,16.0,,,3.56,8.0,
2018-08-03,20.09583333333333,62.0,256.25,0.13,0.0,0.0,,,,3.6666666666666665,,
2018-08-04,18.55,68.58333333333333,233.5,0.45,246.0,0.0,,,,4.374999999999999,,
2018-08-05,18.433333333333334,69.29166666666667,151.29166666666666,,35.0,0.0,,,,3.75,,
2018-08-06,18.679166666666667,72.70833333333333,194.54166666666663,1.02,15.0,0.0,,,,4.0,,
2018-08-07,19.054166666666667,68.58333333333333,231.75,0.23,40.0,0.0,,,,3.9583333333333335,,
2018-08-08,19.729166666666668,63.708333333333336,272.375,0.31,213.0,0.0,,,,3.583333333333333,,
2018-08-09,18.070833333333333,71.91666666666667,201.70833333333331,1.16,167.0,0.0,,,,5.750000000000001,,
2018-08-10,17.966666666666665,72.83333333333333,198.75,0.04,97.0,0.0,,,,6.416666666666667,,
2018-08-11,18.4625,69.58333333333333,211.70833333333331,0.6399999999999999,216.0,0.0,,,,4.541666666666667,,
2018-08-12,17.820833333333333,78.20833333333333,170.95833333333334,1.16,20.0,0.0,,,,3.9166666666666665,,
2018-08-13,17.533333333333335,74.83333333333333,138.625,0.73,195.0,0.0,,,,4.041666666666666,,
2018-08-14,18.75,67.54166666666667,259.0833333333333,,61.0,0.0,,,,5.083333333333333,,
2018-08-15,19.2375,69.04166666666667,186.0,0.12,192.0,0.0,,,,5.333333333333333,,
2018-08-16,19.35833333333333,68.79166666666667,251.79166666666663,0.07,214.0,0.0,,,,3.625,,
2018-08-17,19.175,67.20833333333333,303.0416666666667,0.16,14.0,0.0,,,,4.374999999999999,,
2018-08-18,19.77083333333333,64.95833333333333,278.7916666666667,0.19,13.0,0.0,,,,4.249999999999999,,
2018-08-19,20.675,63.16666666666666,245.0,,218.0,0.0,,,,2.2916666666666665,,
2018-08-20,20.508333333333333,64.95833333333333,298.0833333333333,0.34,36.0,0.0,,,,4.291666666666667,,
2018-08-21,18.3125,73.45833333333333,157.29166666666666,0.54,1.0,0.0,,,,3.416666666666667,,
2018-08-22,18.566666666666663,68.66666666666667,287.0416666666667,0.29,6.0,0.0,,,,4.833333333333334,,
2018-08-23,18.691666666666663,71.54166666666667,237.25,0.23,190.0,0.0,,,,5.375,,
2018-08-24,18.325,69.70833333333333,194.125,0.13,9.0,0.0,,,,4.166666666666667,,
2018-08-25,18.09583333333333,69.95833333333333,214.04166666666663,0.72,187.0,0.0,,,,4.833333333333334,,
2018-08-26,18.633333333333333,70.83333333333333,249.04166666666663,0.5499999999999999,4.0,0.0,,,,2.5416666666666665,,
2018-08-27,18.5625,69.91666666666667,246.20833333333331,0.33,4.0,0.0,,,,5.541666666666667,,
2018-08-28,18.541666666666668,69.83333333333333,180.66666666666663,0.02,210.0,0.0,,,,3.541666666666667,,
2018-08-29,18.55,71.29166666666667,199.54166666666663,0.07,224.0,0.0,,,,5.0,,
2018-08-30,18.716666666666665,73.08333333333333,216.5,0.42,14.0,0.0,,,,5.166666666666667,,
2018-08-31,18.6125,71.875,231.45833333333331,0.87,170.0,0.0,,,,3.416666666666667,,
2018-09-01,19.354166666666668,69.66666666666667,268.5,,352.0,0.0,,,,,,
2018-09-02,19.70833333333333,67.0,255.875,0.17,23.0,0.0,,,,3.5,,
2018-09-03,19.75,68.0,214.45833333333331,0.11,140.0,0.0,,,,3.6666666666666665,,
2018-09-04,19.475,69.25,210.625,0.36,1.0,0.0,,,,4.041666666666666,,
2018-09-05,18.966666666666665,71.58333333333333,184.45833333333331,1.29,206.0,0.0,,,,4.666666666666667,,
2018-09-06,18.2625,69.70833333333333,154.875,0.05,214.0,0.0,,,,6.041666666666668,,
2018-09-07,19.216666666666665,66.04166666666667,238.625,0.04,8.0,0.0,,,,6.166666666666668,,
2018-09-08,19.183333333333334,67.70833333333333,246.25,,39.0,0.0,,,,3.5,,
2018-09-09,19.279166666666665,65.91666666666667,240.54166666666663,,230.0,0.0,,,,3.583333333333334,,
2018-09-10,19.675,66.58333333333333,247.95833333333331,,136.0,0.0,-7.0,,,3.9583333333333335,,
2018-09-11,20.004166666666663,65.79166666666667,241.0,,218.0,0.0,-2.25,,,3.9583333333333335,,
2018-09-12,19.779166666666665,69.0,201.5,0.5399999999999999,157.0,0.0,,,,4.5,,
2018-09-13,19.254166666666663,76.625,181.58333333333331,1.23,247.0,0.0,-7.2,,,4.708333333333333,,
2018-09-14,19.85,70.91666666666667,269.0,0.01,121.0,0.0,-2.0,,,4.458333333333333,,
2018-09-15,20.054166666666667,62.333333333333336,229.16666666666663,0.01,129.0,0.0,-2.5,,,2.7916666666666665,,
2018-09-16,18.90833333333333,66.66666666666667,224.54166666666663,,133.0,0.0,929.2666666666668,,,3.25,,
2018-09-17,18.4375,74.95833333333333,152.04166666666666,,221.0,0.0,882.6363636363636,,,4.041666666666666,,
2018-09-18,19.008333333333333,71.58333333333333,150.91666666666666,,200.0,0.0,,,,5.291666666666667,,
2018-09-19,19.10833333333333,69.0,237.375,0.02,215.0,0.0,-2.6666666666666665,,,6.916666666666667,,
2018-09-20,20.245833333333334,64.91666666666667,264.9583333333333,0.21,210.0,0.0,-2.0,,,6.5,,
2018-09-21,20.575,66.70833333333333,205.45833333333331,0.31,4.0,0.0,,,,6.958333333333334,,
2018-09-22,19.48333333333333,72.75,176.58333333333334,0.08,45.0,0.0,-5.0,,,5.125,,
2018-09-23,18.78333333333333,73.75,188.79166666666663,0.1,211.0,0.0,,,,3.0416666666666665,,
2018-09-24,19.266666666666666,71.04166666666667,229.625,,209.0,0.0,-1.0,,,5.541666666666667,,
2018-09-25,19.079166666666666,74.125,162.70833333333334,1.59,4.0,0.0,,,,5.916666666666667,,
2018-09-26,19.354166666666668,70.75,239.29166666666663,0.23,112.0,0.0,,,,4.541666666666667,,
2018-09-27,19.116666666666667,71.04166666666667,178.16666666666666,0.14,0.0,0.0,,,,5.125,,
2018-09-28,18.466666666666665,74.58333333333333,203.75,0.5,6.0,0.0,,,,4.291666666666667,,
2018-09-29,18.291666666666668,75.29166666666667,202.83333333333331,0.79,122.0,0.0,,,,5.083333333333333,,
2018-09-30,18.704166666666666,72.875,210.0,0.23,2.0,0.0,,,,3.2916666666666665,,
2018-10-01,18.6,72.83333333333333,224.33333333333331,,43.0,0.0,,,,,,
2018-10-02,19.054166666666667,67.33333333333333,246.33333333333331,0.34,15.0,0.0,,,,7.333333333333333,,
2018-10-03,18.525,69.79166666666667,207.375,1.02,18.0,0.0,,,,5.833333333333334,,
2018-10-04,18.3125,72.375,248.20833333333331,0.58,3.0,0.0,,,,7.708333333333334,,
2018-10-05,19.383333333333333,70.16666666666667,218.83333333333331,0.17,6.0,0.0,,,,5.25,,
2018-10-06,18.4125,72.70833333333333,173.25,0.11,216.0,0.0,,,,4.625,,
2018-10-07,18.154166666666665,73.04166666666667,237.375,0.49,136.0,0.0,,,,3.333333333333333,,
2018-10-08,17.845833333333335,72.95833333333333,225.75,0.01,226.0,0.0,,,,5.958333333333334,,
2018-10-09,18.8625,69.20833333333333,247.70833333333331,,126.0,0.0,-5.5,,,5.375,,43.7
2018-10-10,19.775,68.95833333333333,206.16666666666663,0.04,50.0,0.0,,,,6.133333333333334,,56.208333333333336
2018-10-11,19.704166666666666,71.66666666666667,166.875,0.02,208.0,0.0,-7.0,,,6.7,5.0,34.958333333333336
2018-10-12,20.0,71.0,204.16666666666663,0.01,13.0,0.0,-12.5,,,5.958333333333334,,58.33333333333333
2018-10-13,20.15,71.04166666666667,200.91666666666663,,123.0,0.0,-9.875,,,5.583333333333333,,66.08333333333334
2018-10-14,19.58333333333333,72.125,198.75,0.49,205.0,0.0,-14.105263157894736,,,4.541666666666667,,64.5
2018-10-15,19.758333333333333,72.125,241.91666666666663,0.23,128.0,0.0,-15.0,,,7.958333333333333,,47.33333333333333
2018-10-16,19.475,69.95833333333333,188.16666666666663,0.3299999999999999,179.0,0.0,-15.0,,,10.583333333333334,,65.125
2018-10-17,18.89583333333333,68.54166666666667,186.125,0.08,4.0,0.0,-12.4,,,6.416666666666667,,58.58333333333333
2018-10-18,19.404166666666665,64.29166666666667,179.41666666666666,0.01,359.0,0.0,-2.75,,,7.291666666666666,,71.66666666666667
2018-10-19,19.22083333333333,67.66666666666667,235.79166666666663,0.77,4.0,0.0,-13.4375,,,6.652173913043479,,59.2
2018-10-20,18.35,74.91666666666667,149.75,0.27,3.0,0.0,-14.541666666666666,,,7.208333333333333,,
2018-10-21,18.229166666666668,75.45833333333333,143.58333333333334,0.7,356.0,0.0,-14.208333333333334,,,5.625000000000001,,
2018-10-22,18.03333333333333,73.91666666666667,172.33333333333334,2.2,355.0,0.0,26.75,,,6.916666666666667,,6.333333333333333
2018-10-23,17.5875,72.45833333333333,100.70833333333331,,271.0,0.0,-2.555555555555556,,,5.833333333333334,,3.0
2018-10-24,18.0125,68.75,199.29166666666663,,208.0,0.0,-2.2,,,11.166666666666666,,6.0
2018-10-25,19.08333333333333,67.29166666666667,242.20833333333331,,217.0,0.0,-3.333333333333333,,,9.375,,
2018-10-26,19.3,68.79166666666667,222.0,0.65,124.0,0.0,-2.5,,,6.583333333333333,,3.5
2018-10-27,18.441666666666663,72.45833333333333,184.66666666666663,0.03,228.0,0.0,-8.5,,,5.333333333333333,,
2018-10-28,18.654166666666665,64.04166666666667,216.125,,2.0,0.0,-4.846153846153846,,,4.625,,
2018-10-29,18.654166666666665,63.66666666666666,205.41666666666663,,19.0,0.0,-1.0,,,7.708333333333334,,6.333333333333333
2018-10-30,18.3625,68.58333333333333,169.875,0.36,328.0,0.0,,,,8.541666666666668,,6.0
2018-10-31,18.15833333333333,70.25,198.41666666666663,0.02,133.0,0.0,,,,8.791666666666666,,2.0
2018-11-01,17.287499999999998,73.08333333333333,148.375,0.2,1.0,0.0,,,,,,
2018-11-02,17.045833333333334,72.83333333333333,102.16666666666669,,192.0,0.0,,,,9.375,,
2018-11-03,16.283333333333335,77.33333333333333,76.25,0.18,209.0,0.0,,,,9.041666666666666,,
2018-11-04,13.945833333333333,88.375,38.29166666666666,1.4200000000000002,3.0,0.0,,,,7.208333333333333,,
2018-11-05,16.291666666666668,71.875,172.79166666666666,0.01,191.0,0.0,,,,15.458333333333332,,
2018-11-06,17.604166666666668,62.75,255.0,,217.0,0.0,,,,14.374999999999998,,
2018-11-07,18.77083333333333,63.29166666666666,229.08333333333331,,218.0,0.0,7.5,,,8.346153846153847,9.999999999999998,
2018-11-08,19.54583333333333,61.833333333333336,223.83333333333331,,215.0,0.0,,,,7.916666666666667,,2.5
2018-11-09,19.491666666666667,61.66666666666666,226.04166666666663,,26.0,0.0,-10.333333333333334,,,7.375,,
2018-11-10,18.891666666666666,63.0,211.41666666666663,,141.0,0.0,,,,7.625,,
2018-11-11,18.320833333333333,63.16666666666666,232.16666666666663,,142.0,0.0,,,,3.7916666666666665,,
2018-11-12,17.958333333333332,67.66666666666667,184.08333333333331,0.26,203.0,0.0,,,,6.166666666666667,,
2018-11-13,15.333333333333334,74.04166666666667,112.0,0.69,227.0,0.0,,,,11.000000000000002,,
2018-11-14,10.7125,75.29166666666667,115.5,0.1,34.0,0.0,,,,6.625,,
2018-11-15,13.154166666666669,70.0,232.54166666666663,,27.0,0.0,,,,13.833333333333334,,
2018-11-16,14.604166666666666,65.25,241.875,,131.0,0.0,,,,9.708333333333334,,
2018-11-17,15.341666666666669,60.083333333333336,249.66666666666663,,223.0,0.0,,,,8.208333333333334,,
2018-11-18,15.366666666666667,60.75,235.54166666666663,,220.0,0.0,,,,6.083333333333333,,
2018-11-19,15.991666666666667,52.16666666666666,242.875,,25.0,0.0,,,,5.875000000000001,,
2018-11-20,16.641666666666666,53.04166666666666,237.25,,7.0,0.0,,,,10.333333333333334,,
2018-11-21,17.004166666666666,51.833333333333336,231.95833333333331,,212.0,0.0,,,,9.916666666666666,,
2018-11-22,17.658333333333335,58.583333333333336,228.625,,220.0,0.0,,,,8.208333333333334,,
2018-11-23,18.129166666666663,61.958333333333336,226.41666666666663,,217.0,0.0,,,,7.125,,
2018-11-24,17.658333333333335,65.16666666666667,226.5,,202.0,0.0,970.6315789473684,,,4.875,,
2018-11-25,16.879166666666666,61.0,225.66666666666663,,212.0,0.0,953.4583333333334,,,4.708333333333333,,
