O3,O3_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,WDir_SD,Rain_Tot,Press_Avg,Rad_Avg,Year,Month,Day,Hour,Minute
30.43,OK,4.01,OK,0.2,BDL,0.13,OK,17.04,OK,6.2,OK,16.13,92.9,1.432,1.577,318.1,4.036,0.1,807.883,,2023,7,22,22,43
55.03,OK,1.35,OK,0.2,BDL,0.22,OK,10.88,OK,16.48,OK,16.32,77.64,2.862,3.676,65.7,20.2,0.1,807.158,,2023,6,28,0,21
47.84,OK,1.76,OK,0.2,BDL,0.29,OK,12.37,OK,10.55,OK,17.01,80.8,3.388,4.055,284.7,21.66,0.9,809.136,8.39,2023,8,2,22,31
45.04,OK,1.39,OK,0.2,BDL,0.22,OK,13.82,OK,2.0,BDL,16.53,83.7,0.719,1.024,293.6,1.46,0.1,807.614,,2023,8,9,5,3
24.1,OK,2.17,OK,0.2,BDL,0.35,OK,15.53,OK,9.88,OK,18.0,87.9,1.411,1.751,32.24,16.13,0.3,806.356,6.73,2023,8,5,19,5
37.42,OK,0.79,OK,0.2,BDL,0.22,OK,16.15,OK,15.49,OK,17.32,81.7,4.697,5.704,160.8,13.44,0.4,807.661,9.13,2023,8,14,23,16
22.26,OK,1.99,OK,0.2,BDL,0.06,OK,6.99,OK,2.0,BDL,18.33,80.4,0.0,0.0,0.0,0.0,0.1,807.044,,2023,7,9,0,16
44.25,OK,3.0,OK,0.2,BDL,0.1,OK,12.28,OK,14.45,OK,16.41,89.8,0.283,0.686,248.2,24.4,0.1,809.759,,2023,7,18,0,17
30.55,OK,6.07,OK,0.2,BDL,0.35,OK,10.38,OK,7.38,OK,15.31,95.1,1.167,1.669,203.5,9.12,0.1,807.683,,2023,9,16,23,41
34.15,OK,1.45,OK,0.2,BDL,0.02,BDL,28.55,OK,22.51,OK,17.36,85.6,2.924,3.645,267.5,10.9,0.1,808.367,137.2,2023,7,24,13,18
57.62,OK,2.45,OK,0.2,BDL,0.26,OK,28.02,OK,20.13,OK,18.29,74.44,6.007,6.973,202.5,7.816,1.1,805.233,34.99,2023,8,13,18,1
25.76,OK,6.15,OK,0.2,BDL,0.34,OK,51.46,OK,38.7,OK,14.52,94.8,1.758,2.284,193.8,7.12,0.1,805.064,,2023,12,15,19,20
47.78,OK,4.43,OK,0.2,BDL,0.05,OK,25.95,OK,17.15,OK,18.39,78.49,1.69,2.212,32.2,12.32,0.1,805.54,4.656,2023,7,17,19,4
